total,mask
146.66804683336883,136.06598950171912
160.97544239484705,147.91082869530763
133.94361115934225,116.33256988971742
173.48306075268192,160.62805360663683
166.4887155365286,147.7502019156583
171.60384051007713,155.77417195057478
197.48538875147278,143.79378517671148
164.871665708426,159.26805437831288
179.28632686927452,158.8486377031868
143.47211590500953,159.9434360334381
173.0877850803081,147.40934519531643
159.84818229587108,160.14910106299214
165.13399621658027,153.31997384402501
141.46053831930476,121.90405491105682
165.243964212219,144.67177970170968
139.46544772139168,116.30658427531509
159.6781928098644,148.53065117622566
127.39161803253228,115.72281397290091
129.58595322310066,122.33935631939605
135.31362486130092,121.34165838498869
133.7663110701833,128.03868370909566
140.62544416987657,113.59897973177303
138.97766522303573,113.91782404967927
141.46520544467785,111.49719513819828
170.09504829000795,153.63768915694217
139.3629006166011,117.97433829957654
180.48724444917755,160.97171664684066
135.6734028156352,114.89541719424234
172.04097437128075,151.62134945826324
174.31079351194785,151.32050832895177
137.14599626442214,118.75846783621006
128.12256177543895,115.69841706194566
179.66487784544006,169.88371989056833
181.22587747825312,175.36692401095974
158.9424265781417,154.70870390330657
174.894996674906,162.1538715490301
130.1239431061149,118.24176974669483
170.98418023771953,150.5924625782302
148.94278059806672,157.5655505315973
156.77758945255482,137.70956873587681
140.71212946873857,123.81000614215675
169.83559071217314,158.79967572827837
179.9216295136139,167.1172163909108
132.25421673385426,118.3692669259191
174.0134634891001,174.02651769269258
161.36149178602864,158.22657956929746
172.4235599770327,153.44549041810504
155.39661903760862,149.19403236549317
131.34176391677465,120.25559517154599
152.01448083407013,150.79613563420207
167.13717238849495,177.89731292899947
166.0027524546023,161.38359652014438
134.68073692842154,127.06348349618477
156.33531776370364,151.48195261541338
159.70339787993,155.52459874727356
137.58485769375693,123.58188210501832
145.70507886,154.41880514
131.9505811971685,117.22261040393649
159.08014729871502,147.1274535333195
147.94942640300724,118.16885439056935
180.33156242120094,159.28519693407492
132.48427636077395,122.99264192101916
129.92597052983183,120.24876125171217
179.09879194886886,149.35631072884576
166.68503079563388,155.72481343652112
160.00798527854573,152.00755707145046
134.24502576037776,117.0579762402315
155.4218734515598,119.14014691683515
163.83780275689423,151.65872362587726
145.3195877552498,112.41393313605339
179.56334833796438,156.83319734156657
170.18094026578547,148.62699271259532
165.66259269154392,155.3380470727645
165.37859833950642,157.46514336070658
166.64698342760676,154.77837292243805
170.87249270145549,154.42448908706416
